base_name,total_variants,match_index,clan_id,clan_name,clan_suffix,register_id,register_name,register_year,category,designer,restrictions,registration_notes
Aberdeen Football Club,3,0,14,Aberdeen Football Club,0,26,Aberdeen Football Club (1990),1990,Corporate,Not Specified,Yes. A corporate tartan for Aberdeen Football Club.,The tartan of the Aberdeen Football Club launched on 12th April 1990.
Aberdeen Football Club,3,1,12,Aberdeen Football Club #2,2,27,Aberdeen Football Club (1999),1999,Corporate,Not Specified,Yes. A corporate tartan for Aberdeen Football Club.,The Aberdeen Football Club tartan which superseded Aberdeen Football Club (1990).
Aberdeen Football Club,3,2,13,Aberdeen Football Club #3,3,28,Aberdeen Football Club (2002),2002,Corporate,House of Edgar/MacNaughton Holdings,Yes. A corporate tartan for Aberdeen Football Club.,Designed by Erica Randall of House of Edgar in 2002 and accepted by the club as their official tartan. Supersedes all previous Aberdeen Football Club tartans which the club insists were all unofficial...
